assembly_accession,assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,"relation_to_type_material
",filepath
GCF_000691605.1,GCF_000691605.1,PRJNA224116,SAMN02743506,,na,959,959,Bdellovibrio bacteriovorus,strain=109J,,latest,Complete Genome,Major,Full,2014/05/15,ASM69160v1,Hebrew University of Jerusalem,GCA_000691605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/605/GCF_000691605.1_ASM69160v1,,"
",GCF_000691605.1_ASM69160v1_genomic.gbff
GCF_000695095.2,GCF_000695095.2,PRJNA224116,SAMN02296694,,representative genome,1379270,1379270,Gemmatimonas phototrophica,strain=AP64,,latest,Complete Genome,Major,Full,2016/04/06,ASM69509v2,Institute of Microbiology ASCR,GCA_000695095.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/095/GCF_000695095.2_ASM69509v2,,"assembly from type material
",GCF_000695095.2_ASM69509v2_genomic.gbff
GCF_000695235.1,GCF_000695235.1,PRJNA224116,SAMN02709029,,na,68570,68570,Streptomyces albulus,strain=NK660,,latest,Complete Genome,Major,Full,2014/05/20,ASM69523v1,Nankai University,GCA_000695235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/235/GCF_000695235.1_ASM69523v1,,"
",GCF_000695235.1_ASM69523v1_genomic.gbff
GCF_000695835.1,GCF_000695835.1,PRJNA224116,SAMN02708703,,na,2113,2113,Mycoplasma californicum,strain=ST-6,,latest,Complete Genome,Major,Full,2014/05/27,ASM69583v1,University of Missouri - Columbia,GCA_000695835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/835/GCF_000695835.1_ASM69583v1,,"assembly from type material
",GCF_000695835.1_ASM69583v1_genomic.gbff
GCF_000695855.3,GCF_000695855.3,PRJNA224116,SAMN02714232,,na,470,470,Acinetobacter baumannii,strain=AC29,,latest,Complete Genome,Major,Full,2015/04/06,ASM69585v3,Universiti Sultan Zainal Abidin,GCA_000695855.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/855/GCF_000695855.3_ASM69585v3,,"
",GCF_000695855.3_ASM69585v3_genomic.gbff
GCF_000697965.2,GCF_000697965.2,PRJNA224116,SAMN02781308,,representative genome,106592,106592,Ensifer adhaerens,strain=Casida A,,latest,Complete Genome,Major,Full,2016/06/16,ASM69796v2,University of Arizona,GCA_000697965.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/697/965/GCF_000697965.2_ASM69796v2,,"assembly from type material
",GCF_000697965.2_ASM69796v2_genomic.gbff
GCF_000698515.2,GCF_000698515.2,PRJNA224116,SAMN00991042,,na,1182172,28901,Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661,strain=CFSAN000661,,latest,Complete Genome,Major,Full,2019/05/02,ASM69851v2,Center for Food Safety and Applied Nutrition,GCA_000698515.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/515/GCF_000698515.2_ASM69851v2,,"
",GCF_000698515.2_ASM69851v2_genomic.gbff
GCF_000706665.1,GCF_000706665.1,PRJNA224116,SAMN02767600,,na,1773,1773,Mycobacterium tuberculosis,strain=KIT87190,,latest,Complete Genome,Major,Full,2014/06/13,ASM70666v1,Korean Institute of Tuberculosis,GCA_000706665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/665/GCF_000706665.1_ASM70666v1,,"
",GCF_000706665.1_ASM70666v1_genomic.gbff
GCF_000706685.1,GCF_000706685.1,PRJNA224116,SAMN02639856,,na,1288,1288,Staphylococcus xylosus,strain=HKUOPL8,,latest,Complete Genome,Major,Full,2014/06/13,ASM70668v1,University of Hong Kong,GCA_000706685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/685/GCF_000706685.1_ASM70668v1,,"
",GCF_000706685.1_ASM70668v1_genomic.gbff
GCF_000706725.1,GCF_000706725.1,PRJNA224116,SAMN03081443,,representative genome,1246626,300825,Bacillus lehensis G1,strain=G1,,latest,Complete Genome,Major,Full,2014/06/13,ASM70672v1,Malaysia Genome Institute,GCA_000706725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/725/GCF_000706725.1_ASM70672v1,,"
",GCF_000706725.1_ASM70672v1_genomic.gbff
GCF_000709555.1,GCF_000709555.1,PRJNA224116,SAMN03081499,,na,1415657,1415657,Candidatus Walczuchella monophlebidarum,,FNIIJ,latest,Complete Genome,Major,Full,2014/06/17,ASM70955v1,"Centro de Ciencias Genomicas, UNAM",GCA_000709555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/709/555/GCF_000709555.1_ASM70955v1,,"
",GCF_000709555.1_ASM70955v1_genomic.gbff
GCF_000723505.1,GCF_000723505.1,PRJNA224116,SAMEA3139033,,representative genome,1433126,1433126,Mucinivorans hirudinis,,,latest,Complete Genome,Major,Full,2014/06/15,Mucivorans_M3_Nelson-Bomar-Fixed,UCONNMISEQ,GCA_000723505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/723/505/GCF_000723505.1_Mucivorans_M3_Nelson-Bomar-Fixed,,"
",GCF_000723505.1_Mucivorans_M3_Nelson-Bomar-Fixed_genomic.gbff
GCF_000724485.1,GCF_000724485.1,PRJNA224116,SAMN02899989,,representative genome,796606,1471,Bacillus methanolicus MGA3,strain=MGA3,,latest,Complete Genome,Major,Full,2014/07/09,ASM72448v1,Bielefeld University,GCA_000724485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/485/GCF_000724485.1_ASM72448v1,,"
",GCF_000724485.1_ASM72448v1_genomic.gbff
GCF_000724605.1,GCF_000724605.1,PRJNA224116,SAMN02900471,,representative genome,59505,59505,Actinotignum schaalii,strain=CCUG 27420,,latest,Complete Genome,Major,Full,2014/07/10,ASM72460v1,Aalborg University,GCA_000724605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/605/GCF_000724605.1_ASM72460v1,,"assembly from type material
",GCF_000724605.1_ASM72460v1_genomic.gbff
GCF_000724625.1,GCF_000724625.1,PRJNA224116,SAMN02641501,,representative genome,661478,1005039,Fimbriimonas ginsengisoli Gsoil 348,strain=GSoil 348,,latest,Complete Genome,Major,Full,2014/07/10,ASM72462v1,"Department of Microbiology and Microbial Engineering, School of Life Sciences, Fudan University",GCA_000724625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/625/GCF_000724625.1_ASM72462v1,,"assembly from type material
",GCF_000724625.1_ASM72462v1_genomic.gbff
GCF_000725345.1,GCF_000725345.1,PRJNA224116,SAMN02872985,,na,484770,484770,Pelosinus sp. UFO1,strain=UFO1,,latest,Complete Genome,Major,Full,2014/07/14,ASM72534v1,Oak Ridge National Lab,GCA_000725345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/345/GCF_000725345.1_ASM72534v1,,"
",GCF_000725345.1_ASM72534v1_genomic.gbff
GCF_000725365.1,GCF_000725365.1,PRJNA224116,SAMN02864241,,representative genome,386490,386490,Terribacillus goriensis,strain=MP602,,latest,Complete Genome,Major,Full,2014/07/14,ASM72536v1,Zhejiang Agricultural and Forestry University,GCA_000725365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/365/GCF_000725365.1_ASM72536v1,,"
",GCF_000725365.1_ASM72536v1_genomic.gbff
GCF_000725385.1,GCF_000725385.1,PRJNA224116,SAMN02899689,,representative genome,1217721,231455,Dyella japonica A8,strain=A8,,latest,Complete Genome,Major,Full,2014/07/14,ASM72538v1,The University of Hong Kong,GCA_000725385.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/385/GCF_000725385.1_ASM72538v1,,"
",GCF_000725385.1_ASM72538v1_genomic.gbff
GCF_000725405.1,GCF_000725405.1,PRJNA224116,SAMN02902417,,na,1274,1274,Dermacoccus nishinomiyaensis,strain=M25,,latest,Complete Genome,Major,Full,2014/07/14,ASM72540v1,University of Malaya,GCA_000725405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/405/GCF_000725405.1_ASM72540v1,,"
",GCF_000725405.1_ASM72540v1_genomic.gbff
GCF_000730165.1,GCF_000730165.1,PRJNA224116,SAMN02689882,,representative genome,1441467,28077,Nitrospirillum amazonense CBAmc,strain=CBAmC,,latest,Complete Genome,Major,Full,2017/06/30,ASM73016v2,Embrapa,GCA_000730165.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/165/GCF_000730165.1_ASM73016v2,,"
",GCF_000730165.1_ASM73016v2_genomic.gbff
GCF_000730245.1,GCF_000730245.1,PRJNA224116,SAMN03081459,,na,86106,86106,endosymbiont of Acanthamoeba sp. UWC8,,UWC8,latest,Complete Genome,Major,Full,2014/07/17,ASM73024v1,"Department of Biology, University of Virginia",GCA_000730245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/245/GCF_000730245.1_ASM73024v1,,"
",GCF_000730245.1_ASM73024v1_genomic.gbff
GCF_000730425.1,GCF_000730425.1,PRJNA224116,SAMN02900729,,na,294,294,Pseudomonas fluorescens,strain=UK4,,latest,Complete Genome,Major,Full,2014/07/17,ASM73042v1,Aalborg University,GCA_000730425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/425/GCF_000730425.1_ASM73042v1,,"
",GCF_000730425.1_ASM73042v1_genomic.gbff
GCF_000732945.1,GCF_000732945.1,PRJNA224116,SAMN02911287,,representative genome,191610,191610,Corynebacterium atypicum,strain=R2070,,latest,Complete Genome,Major,Full,2014/07/24,ASM73294v1,Bielefeld University,GCA_000732945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/945/GCF_000732945.1_ASM73294v1,,"assembly from type material
",GCF_000732945.1_ASM73294v1_genomic.gbff
GCF_000734895.2,GCF_000734895.2,PRJNA224116,SAMN02909965,,na,1337936,1337936,Calothrix sp. 336/3,strain=336/3,,latest,Complete Genome,Major,Full,2015/05/06,ASM73489v2,"University of Turku, Department of Biochemistry",GCA_000734895.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/895/GCF_000734895.2_ASM73489v2,,"
",GCF_000734895.2_ASM73489v2_genomic.gbff
GCF_000737325.1,GCF_000737325.1,PRJNA224116,SAMN02719577,,representative genome,927083,927083,Sandaracinus amylolyticus,strain=DSM 53668,,latest,Complete Genome,Major,Full,2015/05/01,ASM73732v2,"Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India",GCA_000737325.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/325/GCF_000737325.1_ASM73732v2,,"assembly from type material
",GCF_000737325.1_ASM73732v2_genomic.gbff
GCF_000737515.1,GCF_000737515.1,PRJNA224116,SAMN02988321,,na,1356852,1356852,Hymenobacter sp. APR13,strain=APR13,,latest,Complete Genome,Major,Full,2014/08/04,ASM73751v1,Nanjing Agricultural University,GCA_000737515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/515/GCF_000737515.1_ASM73751v1,,"
",GCF_000737515.1_ASM73751v1_genomic.gbff
GCF_000739085.1,GCF_000739085.1,PRJNA224116,SAMN02777954,,na,1068978,1814,Amycolatopsis methanolica 239,strain=239,,latest,Complete Genome,Major,Full,2014/08/12,ASM73908v1,Chinese National Human Genome Center at Shanghai,GCA_000739085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/085/GCF_000739085.1_ASM73908v1,,"assembly from type material
",GCF_000739085.1_ASM73908v1_genomic.gbff
GCF_000739395.1,GCF_000739395.1,PRJNA224116,SAMN02770278,,na,96345,96345,Flavobacterium psychrophilum,strain=CSF259-93,,latest,Complete Genome,Major,Full,2014/08/14,ASM73939v1,"Igenbio, Inc",GCA_000739395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/395/GCF_000739395.1_ASM73939v1,,"
",GCF_000739395.1_ASM73939v1_genomic.gbff
GCF_000739455.1,GCF_000739455.1,PRJNA224116,SAMN02950575,,representative genome,156978,156978,Corynebacterium imitans,strain=DSM 44264,,latest,Complete Genome,Major,Full,2014/08/14,ASM73945v1,Bielefeld University,GCA_000739455.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/455/GCF_000739455.1_ASM73945v1,,"assembly from type material
",GCF_000739455.1_ASM73945v1_genomic.gbff
GCF_000740235.1,GCF_000740235.1,PRJNA224116,SAMN02780910,,na,29461,29461,Brucella suis,strain=513UK,,latest,Complete Genome,Major,Full,2014/08/15,ASM74023v1,Los Alamos National Laboratory,GCA_000740235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/235/GCF_000740235.1_ASM74023v1,,"
",GCF_000740235.1_ASM74023v1_genomic.gbff
GCF_000742755.1,GCF_000742755.1,PRJNA224116,SAMN02982872,,na,72407,573,Klebsiella pneumoniae subsp. pneumoniae,strain=ATCC 43816 KPPR1,,latest,Complete Genome,Major,Full,2014/08/21,ASM74275v1,University of North Carolina at Chapel Hill,GCA_000742755.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/742/755/GCF_000742755.1_ASM74275v1,,"
",GCF_000742755.1_ASM74275v1_genomic.gbff
GCF_000742835.1,GCF_000742835.1,PRJNA224116,SAMN02911856,,na,91604,91604,Candidatus Paracaedibacter acanthamoebae,,PRA3,latest,Complete Genome,Major,Full,2014/08/21,ASM74283v1,University of Virginia,GCA_000742835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/742/835/GCF_000742835.1_ASM74283v1,,"
",GCF_000742835.1_ASM74283v1_genomic.gbff
GCF_000742855.1,GCF_000742855.1,PRJNA224116,SAMN03081542,,na,64104,64104,Bacillus pseudomycoides,strain=219298,,latest,Complete Genome,Major,Full,2014/08/21,ASM74285v1,Los Alamos National Laboratory,GCA_000742855.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/742/855/GCF_000742855.1_ASM74285v1,,"
",GCF_000742855.1_ASM74285v1_genomic.gbff
GCF_000742975.1,GCF_000742975.1,PRJNA224116,SAMN02870637,,na,1201292,1351,Enterococcus faecalis ATCC 29212,strain=29212,,latest,Complete Genome,Major,Full,2014/08/22,ASM74297v1,Los Alamos National Laboratory,GCA_000742975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/742/975/GCF_000742975.1_ASM74297v1,,"
",GCF_000742975.1_ASM74297v1_genomic.gbff
GCF_000743015.1,GCF_000743015.1,PRJNA224116,SAMN02905033,,na,1314,1314,Streptococcus pyogenes,strain=ATCC 19615,,latest,Complete Genome,Major,Full,2014/08/22,ASM74301v1,Los Alamos National Laboratory,GCA_000743015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/015/GCF_000743015.1_ASM74301v1,,"
",GCF_000743015.1_ASM74301v1_genomic.gbff
GCF_000743255.1,GCF_000743255.1,PRJNA224116,SAMN02929659,,na,1322345,562,Escherichia coli ATCC 25922,strain=ATCC 25922,,latest,Complete Genome,Major,Full,2014/08/22,ASM74325v1,Los Alamos National Laboratory,GCA_000743255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/255/GCF_000743255.1_ASM74325v1,,"
",GCF_000743255.1_ASM74325v1_genomic.gbff
GCF_000743945.1,GCF_000743945.1,PRJNA224116,SAMN02940631,,representative genome,1072685,1472345,Basilea psittacipulmonis DSM 24701,strain=DSM 24701,,latest,Complete Genome,Major,Full,2014/08/27,ASM74394v1,Geneva University Hospitals,GCA_000743945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/945/GCF_000743945.1_ASM74394v1,,"assembly from type material
",GCF_000743945.1_ASM74394v1_genomic.gbff
GCF_000746585.1,GCF_000746585.1,PRJNA224116,SAMN02943453,,na,1528098,1528098,Rickettsiales bacterium Ac37b,strain=Ac37b,,latest,Complete Genome,Major,Full,2015/01/27,ASM74658v2,University of Minnesota,GCA_000746585.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/585/GCF_000746585.1_ASM74658v2,,"
",GCF_000746585.1_ASM74658v2_genomic.gbff
GCF_000746665.1,GCF_000746665.1,PRJNA224116,SAMN03009989,,na,672,672,Vibrio vulnificus,strain=93U204,,latest,Complete Genome,Major,Full,2014/08/29,ASM74666v1,Academia Sinica,GCA_000746665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/665/GCF_000746665.1_ASM74666v1,,"
",GCF_000746665.1_ASM74666v1_genomic.gbff
GCF_000747525.1,GCF_000747525.1,PRJNA224116,SAMN03003634,,na,1538644,1538644,Sphingobacterium sp. ML3W,strain=ML3W,,latest,Complete Genome,Major,Full,2014/09/04,ASM74752v1,Delaware Technical Community College,GCA_000747525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/525/GCF_000747525.1_ASM74752v1,,"
",GCF_000747525.1_ASM74752v1_genomic.gbff
GCF_000754265.1,GCF_000754265.1,PRJNA224116,SAMN03290991,,na,186490,186490,Candidatus Baumannia cicadellinicola,strain=BGSS,,latest,Complete Genome,Major,Full,2014/09/12,ASM75426v1,University of Texas at Austin,GCA_000754265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/265/GCF_000754265.1_ASM75426v1,,"
",GCF_000754265.1_ASM75426v1_genomic.gbff
GCF_000754275.1,GCF_000754275.1,PRJNA224116,SAMN02904551,,na,747,747,Pasteurella multocida,strain=ATCC 43137,,latest,Complete Genome,Major,Full,2014/09/12,ASM75427v1,Los Alamos National Laboratory,GCA_000754275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1,,"assembly from type material
",GCF_000754275.1_ASM75427v1_genomic.gbff
GCF_000754345.1,GCF_000754345.1,PRJNA224116,SAMN02904571,,na,588,588,Providencia stuartii,strain=ATCC 33672,,latest,Complete Genome,Major,Full,2014/09/12,ASM75434v1,Los Alamos National Laboratory,GCA_000754345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/345/GCF_000754345.1_ASM75434v1,,"
",GCF_000754345.1_ASM75434v1_genomic.gbff
GCF_000755585.2,GCF_000755585.2,PRJNA224116,SAMN03010510,,representative genome,656366,656366,Arthrobacter alpinus,strain=A3,,latest,Complete Genome,Major,Full,2016/01/04,ASM75558v2,Chinese Academy of Sciences,GCA_000755585.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/585/GCF_000755585.2_ASM75558v2,,"
",GCF_000755585.2_ASM75558v2_genomic.gbff
GCF_000755705.1,GCF_000755705.1,PRJNA224116,SAMN03009086,,na,1541959,1541959,Candidatus Izimaplasma sp. HR1,strain=HR1,,latest,Complete Genome,Major,Full,2014/09/18,ASM75570v1,California Institute of Technology,GCA_000755705.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/705/GCF_000755705.1_ASM75570v1,,"
",GCF_000755705.1_ASM75570v1_genomic.gbff
GCF_000755765.1,GCF_000755765.1,PRJNA224116,SAMN02945025,,na,28450,28450,Burkholderia pseudomallei,strain=BDP,,latest,Complete Genome,Major,Full,2014/09/18,ASM75576v1,Los Alamos National Laboratory,GCA_000755765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/765/GCF_000755765.1_ASM75576v1,,"
",GCF_000755765.1_ASM75576v1_genomic.gbff
GCF_000755785.1,GCF_000755785.1,PRJNA224116,SAMN02945023,,na,13373,13373,Burkholderia mallei,strain=FMH 23344,,latest,Complete Genome,Major,Full,2014/09/18,ASM75578v1,Los Alamos National Laboratory,GCA_000755785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/785/GCF_000755785.1_ASM75578v1,,"
",GCF_000755785.1_ASM75578v1_genomic.gbff
GCF_000756415.2,GCF_000756415.2,PRJNA224116,SAMN03012752,,na,1238,1238,Piscirickettsia salmonis,strain=PM32597B1,,latest,Complete Genome,Major,Full,2015/08/31,ASM75641v3,ADL Diagnostic Chile Ltda,GCA_000756415.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/415/GCF_000756415.2_ASM75641v3,,"
",GCF_000756415.2_ASM75641v3_genomic.gbff
GCF_000757785.1,GCF_000757785.1,PRJNA224116,SAMN03031196,,representative genome,61647,61647,Pluralibacter gergoviae,strain=FB2,,latest,Complete Genome,Major,Full,2014/09/25,ASM75778v1,University of Malaya,GCA_000757785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/785/GCF_000757785.1_ASM75778v1,,"
",GCF_000757785.1_ASM75778v1_genomic.gbff
GCF_000758665.1,GCF_000758665.1,PRJNA224116,SAMN02996607,,representative genome,160799,160799,Paenibacillus borealis,strain=DSM 13188,,latest,Complete Genome,Major,Full,2014/09/22,ASM75866v1,Cornell University,GCA_000758665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/758/665/GCF_000758665.1_ASM75866v1,,"assembly from type material
",GCF_000758665.1_ASM75866v1_genomic.gbff
GCF_000758685.1,GCF_000758685.1,PRJNA224116,SAMN02996608,,representative genome,169760,169760,Paenibacillus stellifer,strain=DSM 14472,,latest,Complete Genome,Major,Full,2014/09/22,ASM75868v1,Cornell University,GCA_000758685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/758/685/GCF_000758685.1_ASM75868v1,,"assembly from type material
",GCF_000758685.1_ASM75868v1_genomic.gbff
GCF_000759535.1,GCF_000759535.1,PRJNA224116,SAMN03068908,,representative genome,157783,157783,Pseudomonas cremoricolorata,strain=ND07,,latest,Complete Genome,Major,Full,2014/09/29,ASM75953v1,UNIVERSITY OF MALAYA,GCA_000759535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/535/GCF_000759535.1_ASM75953v1,,"
",GCF_000759535.1_ASM75953v1_genomic.gbff
GCF_000759555.1,GCF_000759555.1,PRJNA224116,SAMN02928813,,na,1282,1282,Staphylococcus epidermidis,strain=SEI,,latest,Complete Genome,Major,Full,2014/09/29,ASM75955v1,Los Alamos National Laboratory,GCA_000759555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/555/GCF_000759555.1_ASM75955v1,,"
",GCF_000759555.1_ASM75955v1_genomic.gbff
GCF_000761115.1,GCF_000761115.1,PRJNA224116,SAMN03025289,,na,1358,1358,Lactococcus lactis,strain=AI06,,latest,Complete Genome,Major,Full,2014/10/01,ASM76111v1,Universidade de Sao Paulo,GCA_000761115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/761/115/GCF_000761115.1_ASM76111v1,,"
",GCF_000761115.1_ASM76111v1_genomic.gbff
GCF_000763245.3,GCF_000763245.3,PRJNA224116,SAMN02947975,,na,287,287,Pseudomonas aeruginosa,strain=CCBH4851,,latest,Complete Genome,Major,Full,2020/03/04,ASM76324v3,Instituto Oswaldo Cruz,GCA_000763245.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/763/245/GCF_000763245.3_ASM76324v3,,"
",GCF_000763245.3_ASM76324v3_genomic.gbff
GCF_000763535.1,GCF_000763535.1,PRJNA224116,SAMN03010512,,na,190893,190893,Vibrio coralliilyticus,strain=OCN014,,latest,Complete Genome,Major,Full,2014/10/28,ASM76353v2,University of Hawaii at Manoa,GCA_000763535.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/763/535/GCF_000763535.1_ASM76353v2,,"
",GCF_000763535.1_ASM76353v2_genomic.gbff
GCF_000765415.1,GCF_000765415.1,PRJNA224116,SAMN02741837,,na,666,666,Vibrio cholerae,strain=2012EL-2176,,latest,Complete Genome,Major,Full,2014/10/10,ASM76541v1,Centers for Disease Control and Prevention,GCA_000765415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/765/415/GCF_000765415.1_ASM76541v1,,"
",GCF_000765415.1_ASM76541v1_genomic.gbff
GCF_000767075.1,GCF_000767075.1,PRJNA224116,SAMN03093440,,representative genome,727,727,Haemophilus influenzae,strain=Hi375,,latest,Complete Genome,Major,Full,2014/10/16,ASM76707v1,Drexel University College of Medicine,GCA_000767075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/075/GCF_000767075.1_ASM76707v1,,"
",GCF_000767075.1_ASM76707v1_genomic.gbff
GCF_000767415.1,GCF_000767415.1,PRJNA224116,SAMN03025288,,na,65058,65058,Corynebacterium ulcerans,strain=210932,,latest,Complete Genome,Major,Full,2014/10/20,ASM76741v1,Federal University of Minas Gerais,GCA_000767415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/415/GCF_000767415.1_ASM76741v1,,"
",GCF_000767415.1_ASM76741v1_genomic.gbff
GCF_000769405.2,GCF_000769405.2,PRJNA224116,SAMN03010502,,na,386,384,Rhizobium leguminosarum bv. trifolii,strain=CC275e,,latest,Complete Genome,Major,Full,2020/05/20,CC275e2020,University of Otago,GCA_000769405.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/405/GCF_000769405.2_CC275e2020,,"
",GCF_000769405.2_CC275e2020_genomic.gbff
GCF_000769555.1,GCF_000769555.1,PRJNA224116,SAMN03104819,,na,492670,492670,Bacillus velezensis,strain=JS25R,,latest,Complete Genome,Major,Full,2014/10/28,ASM76955v1,"Institute of Agro-products Processing Science and Technology, Chinese Academy of Agricultural Sciences",GCA_000769555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/555/GCF_000769555.1_ASM76955v1,,"
",GCF_000769555.1_ASM76955v1_genomic.gbff
GCF_000770115.1,GCF_000770115.1,PRJNA224116,SAMN03075601,,representative genome,669,669,Vibrio harveyi,strain=ATCC 33843 (392 [MAV]),,latest,Complete Genome,Major,Full,2014/12/05,ASM77011v2,NRL,GCA_000770115.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/770/115/GCF_000770115.1_ASM77011v2,,"
",GCF_000770115.1_ASM77011v2_genomic.gbff
GCF_000770155.1,GCF_000770155.1,PRJNA224116,SAMN03005138,,na,550,550,Enterobacter cloacae,strain=GGT036,,latest,Complete Genome,Major,Full,2014/10/31,ASM77015v1,Korea Institute of Science and Technology,GCA_000770155.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/770/155/GCF_000770155.1_ASM77015v1,,"
",GCF_000770155.1_ASM77015v1_genomic.gbff
GCF_000772205.1,GCF_000772205.1,PRJNA224116,SAMN03009557,,na,1423,1423,Bacillus subtilis,strain=Bs-916,,latest,Complete Genome,Major,Full,2014/11/05,ASM77220v1,Jiangsu Academy of Agricultural Sciences,GCA_000772205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/205/GCF_000772205.1_ASM77220v1,,"
",GCF_000772205.1_ASM77220v1_genomic.gbff
